ID	l [deg]	b [deg]	Area [pc^2]	Distance [kpc]	Flag	Mass [kg]	# of distance points
194 	36.09216666666506 	-0.3914999999999608    	0.00042852146778327074	8.32	A	8130937.566542214 	1 
195 	36.080499999998395	0.32116666666663457    	0.00027707611575041166	7.79	A	11165836.116903609	1 
196 	36.01083333333173 	-0.19716666666664695   	0.00036516658985854335	5.28	A	31922497.04852051 	1 
197 	35.99616666666506 	-0.17216666666664943   	1.3978343390334643e-05	3.25	A	111195.94306963129	1 
198 	36.03749999999839 	-0.5098333333332824    	0.0002251788828981259 	9.95	A	1926408.585338586 	1 
199 	36.01449999999839 	-0.49683333333328367   	0.0034662432829633757 	9.93	A	60628302.83656705 	2 
200 	35.839833333331754	-0.22783333333331054   	4.5509278973898555e-05	1.83	B	2805284.6302925902	1 
201 	35.81683333333175 	-0.19383333333331393   	4.528258269009333e-05 	1.83	B	2123462.5493019447	2 
202 	35.79283333333176 	-0.17649999999998234   	0.00015890810413820566	9.89	B	5298697.813027867 	1 
203 	35.679833333331764	-0.17449999999998253   	0.0003729613840899799 	1.8 	A	6738803.485746082 	4 
204 	35.47783333333179 	-0.3101666666666356    	0.002815681815099238  	2.78	A	59556332.19378459 	7 
205 	35.50116666666512 	-0.3324999999999667    	0.003833667869753915  	9.34	A	48095943.21452113 	1 
206 	35.49849999999845 	-0.30549999999996946   	4.4689702421324575e-05	4.25	A	777515.6168087976 	1 
207 	35.853166666665075	0.2604999999999739     	0.00012016827445303143	1.87	A	6851366.185497682 	2 
208 	35.679166666665104	0.12683333333332064    	0.00030364138766570564	1.84	B	3870216.803161427 	2 
209 	35.63216666666511 	0.14083333333331924    	1.6489544752470015e-05	1.84	A	262974.3541926419 	1 
210 	35.60849999999844 	0.11183333333332214    	0.0007342904578482592 	4.94	B	27501440.703043003	1 
211 	35.537499999998445	0.14449999999998553    	0.0009964544525850841 	4.94	B	30058527.882863034	1 
212 	35.82349999999842 	-0.10849999999998915   	1.8772682437049114e-05	1.81	A	275076.43975228304	1 
213 	35.81649999999842 	0.21649999999997832    	0.0001979773867014017 	6.76	A	1780450.2135782614	1 
214 	35.78249999999842 	0.24583333333330873    	0.00028123861768346845	1.86	A	5598318.263977384 	1 
215 	35.58749999999844 	-0.9724999999999028    	0.00046731511524338997	2.15	A	16318118.647710484	3 
216 	35.49549999999845 	-0.04183333333332914   	0.0003289445108100299 	6.23	A	25725165.976676784	1 
217 	35.45516666666512 	0.23416666666664324    	0.0002680133020933984 	2.97	A	7948247.8210906815	1 
218 	35.448833333331784	0.2674999999999732     	0.0032100158623815447 	6.79	A	90450265.48955762 	1 
219 	35.42683333333179 	0.33749999999996627    	0.0002448343564331669 	7.89	A	8388404.211323435 	1 
220 	35.488833333331776	0.45016666666662164    	0.00029295214951166213	7.81	A	7627409.137442147 	1 
221 	35.44649999999846 	-0.018833333333331446  	0.00212293130133623   	7.51	A	78442042.56037925 	1 
222 	35.44283333333179 	-0.008499999999999147  	0.00011399322141243497	5.92	A	10864910.872769631	1 
223 	35.48016666666512 	0.15349999999998465    	9.170004194699539e-05 	9.02	A	1047389.0915283263	1 
224 	35.428833333331795	0.13849999999998613    	0.001555690920084829  	4.42	A	75379200.28332411 	1 
225 	35.42449999999846 	0.09916666666665674    	3.373052449456292e-05 	4.77	A	571391.1060877505 	1 
226 	35.40983333333179 	0.42716666666662395    	0.0028076465396303604 	7.7 	A	48043259.63526943 	2 
227 	35.3628333333318  	0.452833333333288      	0.00015944090539019744	5.69	A	1775652.3586266853	1 
228 	35.3328333333318  	0.43283333333329005    	0.002336494147580612  	5.69	A	33417370.727759577	2 
229 	35.4058333333318  	-0.5964999999999403    	5.410707213946051e-05 	2.24	A	983631.1274684778 	1 
230 	35.38549999999846 	0.020499999999997937   	0.00880879475570978   	7.92	A	161156782.46964872	3 
231 	35.35516666666513 	-0.10849999999998915   	0.002301599642017099  	5.67	A	50273350.513503134	1 
232 	35.36316666666513 	-0.9724999999999028    	0.0005100126481702692 	2.33	A	7501568.449309394 	3 
233 	35.343499999998464	-0.9124999999999087    	0.00010947586049315471	3.83	A	515398.97732890735	1 
234 	35.291166666665134	-0.902833333333243     	0.0007901465673962433 	2.32	A	10247202.741845151	6 
235 	35.31649999999847 	0.12983333333332034    	0.0029943306524805725 	4.62	A	50089264.90872235 	1 
236 	35.361499999998465	0.14249999999998575    	0.0005682523081352359 	9.31	A	7046007.583078209 	1 
237 	35.34183333333179 	0.23783333333330955    	0.001340415251043107  	8.96	B	27169135.103403945	1 
238 	35.30749999999846 	0.25583333333330777    	0.00021568013328243887	4.15	B	6525982.625634026 	1 
239 	35.28449999999847 	0.25149999999997485    	0.0005331564088261961 	8.24	B	7947013.313091321 	1 
240 	35.21183333333181 	-0.7748333333332558    	0.002669797712683034  	2.18	A	74362256.71443617 	19
241 	35.31849999999847 	-0.43283333333329      	0.000698883128858535  	2.68	A	25352181.678687908	1 
242 	35.17916666666515 	0.3281666666666338     	0.00046057991815273794	3.09	A	14445547.883761803	1 
243 	35.259499999998475	0.42583333333329076    	0.0005740790389409736 	5.57	B	9266941.084156536 	1 
244 	35.23449999999848 	0.44483333333328884    	0.0002494991396604634 	5.57	B	8963824.62117125  	1 
245 	35.216166666665146	0.47516666666661916    	0.0007599951330907667 	8.02	B	32793139.127189472	2 
246 	35.21283333333181 	0.40716666666662593    	0.0003454536576934632 	8.81	B	5570040.244322041 	1 
247 	35.03616666666516 	-0.20516666666664612   	0.0010570347227416845 	5.37	A	18767307.410978194	1 
248 	34.98716666666517 	-0.2571666666666409    	6.418694379151262e-05 	2.74	A	2150172.89075882  	1 
249 	35.0024999999985  	0.35483333333329786    	9.283605101367812e-05 	2.3 	A	1125699.0927197638	1 
250 	34.94983333333183 	0.15716666666665094    	0.0022826013074570667 	9.38	A	50671657.17522008 	1 
251 	34.88816666666518 	0.30616666666663606    	0.000936607296372625  	3.09	A	22469798.35680907 	1 
252 	34.833499999998516	0.42583333333329076    	0.005108197098207686  	3.34	A	98806969.33344918 	9 
